"","Label","El1","El2","sim","sne","sor","ymin"
"1","Colorado, USA",1100,1200,0,0,0,0
"2","Colorado, USA",1200,1300,0.0416666666666667,0.0904088050314465,0.132075471698113,0
"3","Colorado, USA",1300,1400,0.0344827586206897,0.247568523430592,0.282051282051282,0
"4","Colorado, USA",1400,1500,0,0,0,0
"5","Colorado, USA",1500,1600,0.0612244897959184,0.220025510204082,0.28125,0
"6","Colorado, USA",1600,1700,0.0253164556962025,0.0634409407535016,0.0887573964497041,0
"7","Colorado, USA",1700,1800,0,0,0,0
"8","Colorado, USA",1800,1900,0.0222222222222222,0.0465608465608466,0.0687830687830688,0
"9","Colorado, USA",1900,2000,0.0625,0.0144230769230769,0.0769230769230769,0
"10","Colorado, USA",2000,2100,0,0,0,0
"11","Colorado, USA",2100,2200,0.0229885057471264,0.0480497456189938,0.0710382513661202,0
"12","Colorado, USA",2200,2300,0.0126582278481013,0.0475827360073204,0.0602409638554217,0
"13","Colorado, USA",2300,2400,0,0,0,0
"14","Colorado, USA",2400,2500,0.0135135135135135,0.0322381204734146,0.0457516339869281,0
"15","Colorado, USA",2500,2600,0.0188679245283019,0.162234437676423,0.181102362204724,0
"16","Colorado, USA",2600,2700,0,0,0,0
"17","Colorado, USA",2700,2800,0,0.0707070707070707,0.0707070707070707,0
"18","Colorado, USA",2800,2900,0,0.179487179487179,0.179487179487179,0
"19","Colorado, USA",2900,3000,0,0,0,0
"20","Colorado, USA",3000,3100,0,0.103448275862069,0.103448275862069,0
"21","Colorado, USA",3100,3200,0,0,0,0
"22","Colorado, USA",3200,3300,0,0.209302325581395,0.209302325581395,0
"23","Colorado, USA",3300,3400,0,0.172413793103448,0.172413793103448,0
"24","Colorado, USA",3400,3500,0,0,0,0
"25","Colorado, USA",3500,3600,0,0.333333333333333,0.333333333333333,0
"26","Colorado, USA",3600,3700,0,0.5,0.5,0
"27","Colorado, USA",3700,3800,0,0,0,0
"28","Colorado, USA",3800,3900,0,0,0,0
"29","Colorado, USA",3900,4000,0,0.333333333333333,0.333333333333333,0
"30","Colorado, USA",4000,4100,0,0,0,0
"31","Colorado, USA",4100,4200,0,0,0,0
"32","Utah, USA",800,900,0,0.365853658536585,0.365853658536585,0
"33","Utah, USA",900,1000,0.0714285714285714,0.0898617511520737,0.161290322580645,0
"34","Utah, USA",1000,1100,0.0294117647058824,0,0.0294117647058824,0
"35","Utah, USA",1100,1200,0,0.0422535211267606,0.0422535211267606,0
"36","Utah, USA",1200,1300,0.027027027027027,0.23070493173586,0.257731958762887,0
"37","Utah, USA",1300,1400,0.0333333333333333,0.138095238095238,0.171428571428571,0
"38","Utah, USA",1400,1500,0,0.0062111801242236,0.0062111801242236,0
"39","Utah, USA",1500,1600,0.038961038961039,0.0243301002794674,0.0632911392405063,0
"40","Utah, USA",1600,1700,0.025974025974026,0.00628403854210306,0.032258064516129,0
"41","Utah, USA",1700,1800,0,0.0196078431372549,0.0196078431372549,0
"42","Utah, USA",1800,1900,0.0138888888888889,0.020124716553288,0.0340136054421769,0
"43","Utah, USA",1900,2000,0.0277777777777778,0,0.0277777777777778,0
"44","Utah, USA",2000,2100,0,0.0359712230215827,0.0359712230215827,0
"45","Utah, USA",2100,2200,0,0.0894308943089431,0.0894308943089431,0
"46","Utah, USA",2200,2300,0,0.037037037037037,0.037037037037037,0
"47","Utah, USA",2300,2400,0.0192307692307692,0,0.0192307692307692,0
"48","Utah, USA",2400,2500,0,0.155555555555556,0.155555555555556,0
"49","Utah, USA",2500,2600,0,0.027027027027027,0.027027027027027,0
"50","Utah, USA",2600,2700,0,0.0588235294117647,0.0588235294117647,0
"51","Utah, USA",2700,2800,0,0.163636363636364,0.163636363636364,0
"52","Utah, USA",2800,2900,0,0.121951219512195,0.121951219512195,0
"53","Utah, USA",2900,3000,0,0.0285714285714286,0.0285714285714286,0
"54","Utah, USA",3000,3100,0,0.133333333333333,0.133333333333333,0
"55","Utah, USA",3100,3200,0,0.130434782608696,0.130434782608696,0
"56","Utah, USA",3200,3300,0,0.538461538461538,0.538461538461538,0
"57","Utah, USA",3300,3400,0,0.5,0.5,0
"58","W Texas, USA",100,200,0,0.310344827586207,0.310344827586207,0
"59","W Texas, USA",200,300,0.0526315789473684,0.0798985415345593,0.132530120481928,0
"60","W Texas, USA",300,400,0,0.150943396226415,0.150943396226415,0
"61","W Texas, USA",400,500,0.0327868852459016,0.0453381147540984,0.078125,0
"62","W Texas, USA",500,600,0.0447761194029851,0.066334991708126,0.111111111111111,0
"63","W Texas, USA",600,700,0.051948051948052,0.0412196499153021,0.093167701863354,0
"64","W Texas, USA",700,800,0.0952380952380952,0,0.0952380952380952,0
"65","W Texas, USA",800,900,0.0240963855421687,0.00584373421831037,0.029940119760479,0
"66","W Texas, USA",900,1000,0.0602409638554217,0.00562729961763221,0.0658682634730539,0
"67","W Texas, USA",1000,1100,0.0123456790123457,0.0179573512906846,0.0303030303030303,0
"68","W Texas, USA",1100,1200,0.0131578947368421,0.0314280925243044,0.0445859872611465,0
"69","W Texas, USA",1200,1300,0.0138888888888889,0.0266516516516517,0.0405405405405405,0
"70","W Texas, USA",1300,1400,0.0428571428571429,0.0134808853118712,0.0563380281690141,0
"71","W Texas, USA",1400,1500,0.0434782608695652,0.00688145136065061,0.0503597122302158,0
"72","W Texas, USA",1500,1600,0.015625,0.0370065789473684,0.0526315789473684,0
"73","W Texas, USA",1600,1700,0.0384615384615385,0.0994694960212202,0.137931034482759,0
"74","W Texas, USA",1700,1800,0,0.424657534246575,0.424657534246575,0
"75","W Texas, USA",1800,1900,0.0769230769230769,0.217194570135747,0.294117647058824,0
"76","W Texas, USA",1900,2000,0,0.238095238095238,0.238095238095238,0
"77","W Texas, USA",2000,2100,0,0.142857142857143,0.142857142857143,0
"78","W Texas, USA",2100,2200,0,0,0,0
"79","W Texas, USA",2200,2300,0,0,0,0
"80","W Texas, USA",2300,2400,0.4,0.0545454545454545,0.454545454545455,0
"81","Chisos Mtns, USA",1000,1100,0,0.647058823529412,0.647058823529412,0
"82","Chisos Mtns, USA",1100,1200,0.0714285714285714,0.140692640692641,0.212121212121212,0
"83","Chisos Mtns, USA",1200,1300,0.0526315789473684,0.11015911872705,0.162790697674419,0
"84","Chisos Mtns, USA",1300,1400,0.0833333333333333,0.218253968253968,0.301587301587302,0
"85","Chisos Mtns, USA",1400,1500,0.111111111111111,0.0355555555555556,0.146666666666667,0
"86","Chisos Mtns, USA",1500,1600,0.0833333333333333,0.158045977011494,0.241379310344828,0
"87","Chisos Mtns, USA",1600,1700,0.14,0.00851485148514852,0.148514851485149,0
"88","Chisos Mtns, USA",1700,1800,0.0697674418604651,0.070017504376094,0.139784946236559,0
"89","Chisos Mtns, USA",1800,1900,0.117647058823529,0.103132161955691,0.220779220779221,0
"90","Chisos Mtns, USA",1900,2000,0.037037037037037,0.11050394656952,0.147540983606557,0
"91","Chisos Mtns, USA",2000,2100,0.0434782608695652,0.0765217391304348,0.12,0
"92","Chisos Mtns, USA",2100,2200,0,0.352941176470588,0.352941176470588,0
"93","Chisos Mtns, USA",2200,2300,0,0.571428571428571,0.571428571428571,0
"94","Nevada, USA",200,300,0,0.166666666666667,0.166666666666667,0
"95","Nevada, USA",300,400,0,0.263157894736842,0.263157894736842,0
"96","Nevada, USA",400,500,0,0.272727272727273,0.272727272727273,0
"97","Nevada, USA",500,600,0,0.0454545454545455,0.0454545454545455,0
"98","Nevada, USA",600,700,0.0434782608695652,0.126333059885152,0.169811320754717,0
"99","Nevada, USA",700,800,0.1,0.0428571428571429,0.142857142857143,0
"100","Nevada, USA",800,900,0,0.0704225352112676,0.0704225352112676,0
"101","Nevada, USA",900,1000,0.0526315789473684,0.0123034859876965,0.0649350649350649,0
"102","Nevada, USA",1000,1100,0.0789473684210526,0.0119617224880383,0.0909090909090909,0
"103","Nevada, USA",1100,1200,0.0526315789473684,0.181410974244121,0.234042553191489,0
"104","Nevada, USA",1200,1300,0.0714285714285714,0.0761124121779859,0.147540983606557,0
"105","Nevada, USA",1300,1400,0.0303030303030303,0.0554112554112554,0.0857142857142857,0
"106","Nevada, USA",1400,1500,0.0810810810810811,0.0122522522522523,0.0933333333333333,0
"107","Nevada, USA",1500,1600,0.0131578947368421,0.037475016655563,0.0506329113924051,0
"108","Nevada, USA",1600,1700,0,0.0238095238095238,0.0238095238095238,0
"109","Nevada, USA",1700,1800,0.0581395348837209,0,0.0581395348837209,0
"110","Nevada, USA",1800,1900,0.0714285714285714,0.0109243697478992,0.0823529411764706,0
"111","Nevada, USA",1900,2000,0.0759493670886076,0.0283451114389998,0.104294478527607,0
"112","Nevada, USA",2000,2100,0.0253164556962025,0.00613008518430061,0.0314465408805031,0
"113","Nevada, USA",2100,2200,0.0140845070422535,0.0587631750769518,0.0728476821192053,0
"114","Nevada, USA",2200,2300,0.0147058823529412,0.0212653406686416,0.0359712230215827,0
"115","Nevada, USA",2300,2400,0.03125,0.0293560606060606,0.0606060606060606,0
"116","Nevada, USA",2400,2500,0,0.163636363636364,0.163636363636364,0
"117","Nevada, USA",2500,2600,0.0217391304347826,0,0.0217391304347826,0
"118","Nevada, USA",2600,2700,0,0.0574712643678161,0.0574712643678161,0
"119","Nevada, USA",2700,2800,0.0285714285714286,0.0766917293233083,0.105263157894737,0
"120","Nevada, USA",2800,2900,0,0,0,0
